generation,genome_id,episode,reward,initial_distance,final_distance,avg_distance,distance_improvement,steps,goal_reached,initial_x,initial_z,final_x,final_z,target_x,target_z
0,6,1,14.79144355735927,2273.0060154222706,1903.2321442750854,1673.7764362308726,369.7738711471852,30,False,-1171.006,0.2647826,-569.9487,-909.3295,1102.0,0.0
0,6,2,35.134838385835785,2273.0000154093714,1505.3632476926557,1593.1640058613555,767.6367677167157,30,False,-1171.0,0.2646715,-161.1263,-818.9203,1102.0,0.0
0,6,3,43.08231275339337,2273.0000156998753,1346.3637606320078,1492.1458839487807,926.6362550678675,30,False,-1171.0,0.2671547,-20.16355,-743.9384,1102.0,0.0
0,7,1,5.358673224664402,2273.004015264032,2075.830550770744,2127.12835996994,197.17346449328807,30,False,-1171.004,0.2634206,-939.9351,-373.5954,1102.0,0.0
0,7,2,3.8513145362726844,2273.0000156605965,2105.973724935143,2133.8783621852426,167.0262907254537,30,False,-1171.0,0.2668203,-969.0594,-381.8878,1102.0,0.0
0,7,3,5.114667733549253,2273.0000157288023,2080.706661057817,2133.050925595978,192.29335467098508,30,False,-1171.0,0.2674007,-943.1046,-383.2589,1102.0,0.0
0,8,1,20.628210125588627,2273.0030153104767,1779.4638127987043,1738.7069709185146,493.5392025117724,30,False,-1171.003,0.263821,-89.61855,1321.566,1102.0,0.0
0,8,2,24.30306671554824,2273.0010155601626,1705.949681249198,1634.0160577292431,567.0513343109646,30,False,-1171.001,0.2659634,441.0032,1572.688,1102.0,0.0
0,8,3,-14.746545325399609,2273.000015768767,2486.945922276759,2094.952647232602,-213.94590650799228,30,False,-1171.0,0.2677402,-1099.395,1157.048,1102.0,0.0
0,9,1,20.408965576517804,2273.0000156535075,1774.8207041231517,1884.032823213421,498.1793115303558,30,False,-1171.0,0.2667599,-667.1708,-141.5034,1102.0,0.0
0,9,2,20.731737431065753,2273.007015616794,1768.372266995479,1871.7383386636282,504.6347486213149,30,False,-1171.007,0.2664473,-658.9777,-161.5488,1102.0,0.0
0,9,3,11.571146015671886,2273.000015718392,1986.7920954049546,1943.256949922655,286.2079203134376,30,False,-1171.0,0.2673122,-790.6656,-604.2845,1102.0,0.0
0,10,1,55.00620380626194,2273.0000158108583,1103.8909396856195,1402.9365784949673,1169.1090761252387,30,False,-1171.0,0.2680973,1388.352,-1066.104,1102.0,0.0
0,10,2,64.90637742195068,2273.0000156515002,906.3974672124862,1335.693182851945,1366.602548439014,30,False,-1171.0,0.2667428,1145.482,-905.3539,1102.0,0.0
0,10,3,48.878655905960315,2273.0120155938976,1205.4388974746914,1454.8790045355427,1067.5731181192061,30,False,-1171.012,0.2662522,1104.643,-1205.436,1102.0,0.0
0,11,1,28.45278218025936,2273.0020153613864,1613.9463717561994,1887.0459163232908,659.055643605187,30,False,-1171.002,0.2642592,-484.8224,-294.6482,1102.0,0.0
0,11,2,-10.02138561006478,2273.000015767106,2400.6877279684018,2082.230822125762,-127.68771220129565,30,False,-1171.0,0.2677261,-1298.611,-19.19359,1102.0,0.0
