episode,total_reward,avg_distance,final_distance,initial_distance,phase
180,34.257877,363.3978146115878,174.62006682809965,605.9804251735163,1
181,32.811832,327.20426712428434,205.8481388711357,589.0177174869129,1
182,33.25163,367.2776968768103,204.28014995265255,588.151565551101,1
183,34.339203,332.0906802562085,180.0746829932163,600.9839063572997,1
184,33.82408,366.8143518320569,184.17829945541646,596.6459541542974,1
185,34.53759,314.40809855889495,166.14216812172452,602.0310821729113,1
186,33.141182,335.4891299164889,203.4654160337112,596.4863844847885,1
187,34.159554,353.9192456214776,179.4418077309372,601.8426315988074,1
188,32.613567,366.37176821858395,210.9615445997949,603.818292416722,1
189,32.567337,358.618593718332,212.2675020393597,599.0876559081798,1
190,34.15683,342.8499157978644,186.18620119574484,590.6704758344046,1
191,34.3644,351.3279516222194,176.87045918549202,591.4991693461601,1
192,33.862804,329.6051674245155,187.51290756941205,596.3562249184309,1
193,34.503086,361.38262260306453,173.01704480005583,605.4368369928917,1
194,33.923603,332.74027367560507,186.77573563416522,592.3457771461183,1
195,34.194546,335.50217451829315,185.5971528163619,603.8952350302311,1
196,32.913612,358.59620954206355,211.31561298306588,603.0881395356629,1
197,33.93699,318.5233607531419,190.55530631406955,602.6574379509318,1
198,35.27498,336.51928372364824,159.3897090155412,609.2934950372412,1
199,33.744167,369.5242688747128,190.5501340511176,605.3675698197495,1
200,33.99901,351.53487256508106,186.76694793453046,606.2979061636455,1
201,33.09218,331.6878649616643,201.26489009989191,598.7472503726477,1
202,34.39123,318.9111762345398,189.47466405303686,586.7209067486464,1
203,34.058475,360.7052041137592,180.69001201001564,603.4443798322179,1
204,33.883953,310.48676261816036,185.30461373385415,595.2185577022534,1
205,33.74695,350.30521975902434,195.46423693044974,604.2106508775399,1
206,35.21346,315.807072987945,168.24432868584427,600.4072368845328,1
207,31.636902,375.5258197415663,227.45484134609907,599.2600621469685,1
208,34.48604,322.4908493325862,171.20279868084194,597.247658201334,1
209,33.136406,360.5618773955697,200.16143193272515,588.2942737567153,1
210,33.57037,321.12938896179,197.2103389016187,607.2698948457422,1
211,34.665886,332.0047738034836,176.1501021441464,600.1813380342113,1
212,34.196693,321.6147843448297,184.84043841645536,605.3503880107792,1
213,33.707,329.1153559511719,200.01335663042562,594.8208071224839,1
214,34.14802,346.64610416319664,194.59923388359184,595.4342753427326,1
215,34.296207,372.1567572231246,166.40012706550317,591.1121293994412,1
216,34.123592,340.69612116582886,185.02577319705043,598.5794226341267,1
217,34.640614,333.47475101453955,174.16247582621233,581.3634732787011,1
218,34.299774,338.1854084321292,188.24968011571576,593.7562620396723,1
219,34.381714,336.37677254127664,184.09464678522778,589.0330621409983,1
220,33.776337,324.273423033114,195.9430945729522,597.9585364760349,1
221,33.22815,307.33013419769213,191.84043289098986,587.9832489367213,1
222,34.544674,336.2038543135177,178.37488306590384,598.5804551992478,1
223,33.90872,321.2329612207419,188.5334538113004,592.9424414185112,1
224,34.70878,355.071964950707,167.18958052558804,591.5667749049273,1
225,34.353077,317.41254276240323,179.40797208657253,601.4195609950858,1
226,34.796997,317.790452889401,165.01453015035176,597.7054059481993,1
227,34.727257,320.12094948339967,180.52452339133364,581.6021632610654,1
228,34.208694,333.23427503062885,182.84952803660713,601.2983303446143,1
229,34.226494,319.84730914288247,187.52800974188338,596.8428310388219,1
230,35.39719,317.5484336489451,166.58910258119192,605.9928863533972,1
231,34.087795,312.01228260565864,181.24309156930667,602.619320160282,1
232,33.736393,303.2722750560226,195.04044301944475,584.9920503494404,1
233,34.514935,305.40125129535124,179.85914155759247,591.1798544928452,1
234,34.20894,324.10012407416446,185.49410135817223,588.2394481229763,1
